1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
0.02725702;0.02618032;0.02422996;0.0228131;0.02113269;0.01971283;0.01813548;0.01687395;0.0148743;0.01377655;0.01291471;0.01234742;0.01217035;0.01126111;0.01042907;0.01002474;0.00936811;0.00925055;0.00887729;0.00860408;0.00814422;0.00744239;0.00672656;0.00626195;0.0059711;0.00568899;0.00520844;0.00497855;0.00465248;0.00436612;0.00398679;0.00375242;0.00366497;0.00351597;0.00341577;0.00343787;0.00347356;0.00342226;0.0032819;0.00337587;0.00328118;0.00327591
0.00121212;0.00108892;0.00107128;0.00101965;0.00099328;0.00094842;0.0009341;0.00089515;0.000839;0.00077367;0.00068298;0.0006443;0.00056144;0.00060419;0.00056772;0.00050825;0.00046499;0.00049384;0.00051226;0.0004622;0.00044897;0.00045654;0.00044881;0.00039988;0.00034933;0.00030274;0.00029027;0.00029227;0.00029268;0.00026816;0.00026098;0.00024842;0.00026552;0.00024968;0.00024504;0.00023443;0.00023102;0.00024187;0.00023723;0.00026536;0.00023296;0.00021617
0.00086887;0.00078925;0.00076391;0.00073612;0.00071169;0.00068128;0.00066892;0.00063115;0.00060809;0.00057517;0.00052871;0.00050415;0.00043195;0.00044156;0.00042784;0.00039677;0.00036562;0.0003689;0.00036833;0.00037474;0.00036664;0.00036089;0.00034106;0.00032263;0.00029351;0.00026041;0.00022971;0.0002154;0.00021559;0.00020821;0.00020029;0.00018994;0.00019555;0.00018583;0.00018292;0.00017865;0.00017558;0.00017331;0.000168;0.00018041;0.00017594;0.00017203
0.00065224;0.00060197;0.00057065;0.00055321;0.0005286;0.00050399;0.0004974;0.0004671;0.00046302;0.00044284;0.00041987;0.00039899;0.00034627;0.00033891;0.00032888;0.00031701;0.00029317;0.00029035;0.00028004;0.00030601;0.0002956;0.00029273;0.00026791;0.00026277;0.00024499;0.00022094;0.00018302;0.00016679;0.00016797;0.00016873;0.00015837;0.0001512;0.00014929;0.00014242;0.00013854;0.00013568;0.00013484;0.00012882;0.00013267;0.00012593;0.0001329;0.00013499
0.00052448;0.00049223;0.00045777;0.00044464;0.00041989;0.00039634;0.00039435;0.00037176;0.00037761;0.00035847;0.0003462;0.00032482;0.00029286;0.00027852;0.00026402;0.0002623;0.00024249;0.00024297;0.00023065;0.00025639;0.00024146;0.00024569;0.00022122;0.00022021;0.00020686;0.0001879;0.00015085;0.0001388;0.00014052;0.0001432;0.00013127;0.00012617;0.0001203;0.00011519;0.00010951;0.00011148;0.0001076;0.00010198;0.00010551;0.00009487;0.00010309;0.00010643
0.0004824;0.00045329;0.00042192;0.00041365;0.00039074;0.00036425;0.00036012;0.00034067;0.00035155;0.00031961;0.0003074;0.000285;0.00027246;0.00025991;0.00024019;0.00023489;0.00021687;0.00022362;0.00021686;0.0002252;0.00021188;0.00021666;0.00020198;0.00020119;0.00018553;0.00016681;0.00014038;0.00013351;0.00013067;0.00014021;0.00012051;0.00011241;0.00011072;0.00010591;0.00009685;0.0001016;0.00009892;0.00009402;0.00010115;0.00008981;0.0000902;0.00008777
0.00047023;0.00044496;0.00041878;0.00040724;0.00038585;0.00035275;0.00034578;0.00032406;0.00033093;0.00029841;0.0002876;0.00026689;0.00026577;0.00025765;0.00022659;0.00021403;0.00019401;0.00021299;0.00022067;0.00022324;0.00019857;0.00020574;0.00019363;0.00019003;0.00016993;0.00014653;0.0001313;0.00013089;0.00013104;0.00012119;0.00011557;0.00010711;0.0001023;0.00010522;0.00009622;0.00009331;0.00009198;0.0000905;0.00008745;0.00009165;0.00008781;0.00008692
0.00045008;0.00043307;0.0004104;0.00039782;0.00038061;0.00035635;0.00034395;0.00032116;0.00032167;0.00028626;0.00027476;0.00025709;0.00025062;0.00023944;0.0002171;0.00020391;0.00018703;0.00020443;0.0002177;0.00022091;0.000202;0.00019837;0.00018381;0.00017586;0.00016118;0.00013794;0.00012965;0.00012424;0.0001316;0.00011769;0.00011472;0.00009891;0.00009698;0.00010951;0.00009863;0.00009147;0.00008686;0.00008404;0.00007879;0.00009102;0.00008165;0.00008786
0.00041688;0.00041333;0.00039922;0.00038703;0.00036704;0.00034276;0.00033038;0.00030136;0.00029914;0.00027174;0.00026466;0.0002584;0.00024972;0.00024076;0.00021748;0.0001996;0.00018653;0.00019636;0.00021064;0.00021218;0.00020625;0.00019144;0.00017545;0.00016187;0.00016092;0.00013394;0.000124;0.00011563;0.00013189;0.00012193;0.00012026;0.00009932;0.00009453;0.00009884;0.00009669;0.0000921;0.00008275;0.0000846;0.00007415;0.00008761;0.00007947;0.00008232
0.00038729;0.00038181;0.00037342;0.00036562;0.00036109;0.00034021;0.00032971;0.00029884;0.00028506;0.00026718;0.00026227;0.0002589;0.00024926;0.00024097;0.00021474;0.00019399;0.00019122;0.00019792;0.00020492;0.00020055;0.000198;0.00018782;0.00017223;0.000162;0.00016217;0.00013682;0.00011813;0.00011372;0.00013134;0.00012659;0.00011862;0.00010063;0.00009073;0.00009087;0.00008979;0.00009007;0.00008424;0.00008633;0.00007522;0.00008631;0.00007789;0.000085
0.00037114;0.00036348;0.00035786;0.00035929;0.00035663;0.00033359;0.00032389;0.00029233;0.00028045;0.00026388;0.00025885;0.00025885;0.00025003;0.00023817;0.00021295;0.00020048;0.00019321;0.00019329;0.00019262;0.00019635;0.00018893;0.00018387;0.00016408;0.00016079;0.00015588;0.00014583;0.00012639;0.00011925;0.00012922;0.00012341;0.0001121;0.00010484;0.00009127;0.00008931;0.00008799;0.00009396;0.00009116;0.00009468;0.00008217;0.00008476;0.00007359;0.00008026
